,Crash ID,State,YYYYMM,Day of week,Time,Crash Type,Bus Involvement,Heavy Rigid Truck Involvement,Articulated Truck Involvement,Road User,Gender,Age,Speed,Driving experience,National Remoteness Areas,SA4 Name 2016,National LGA Name 2017,National Road Type,Christmas Period,Easter Period,Age Group,Time of day
4243,20172223,Vic,2017-08,Tuesday,18:15:00,Multiple,No,No,No,Car driver,Female,80,118,45,Outer Regional Australia,Warrnambool and South West,Southern Grampians (S),National or State Highway,No,No,75_or_older,Night
4244,20174003,SA,2017-08,Monday,19:46:00,Multiple,No,No,No,Car driver,Female,85,60,42,Major Cities of Australia,Adelaide - Central and Hills,Burnside (C),Arterial Road,No,No,75_or_older,Night
4245,20172063,Vic,2017-08,Friday,1:00:00,Single,No,No,No,Car driver,Male,21,102,5,Inner Regional Australia,Ballarat,Ballarat (C),Local Road,No,No,17_to_25,Night
4246,20172063,Vic,2017-08,Friday,1:00:00,Single,No,No,No,Car passenger,Male,21,0,7,Inner Regional Australia,Ballarat,Ballarat (C),Local Road,No,No,17_to_25,Night
4247,20171183,NSW,2017-08,Tuesday,0:30:00,Single,No,No,No,Car passenger,Male,24,0,7,Inner Regional Australia,Coffs Harbour - Grafton,Clarence Valley,Local Road,No,No,17_to_25,Night
4248,20171298,NSW,2017-08,Wednesday,23:54:00,Single,No,No,No,Car driver,Male,17,62,2,Major Cities of Australia,Central Coast,Central Coast,Arterial Road,No,No,17_to_25,Night
4249,20171168,NSW,2017-08,Friday,4:45:00,Single,No,No,No,Car driver,Male,29,142,4,Outer Regional Australia,Central West,Cowra,Arterial Road,No,No,26_to_39,Night
4250,20172111,Vic,2017-08,Sunday,5:10:00,Single,No,No,No,Car driver,Male,23,156,5,Major Cities of Australia,Melbourne - South East,Greater Dandenong (C),Sub-Arterial Road,No,No,17_to_25,Night
4251,20172188,Vic,2017-08,Friday,5:30:00,Multiple,No,No,No,Car driver,Male,39,92,14,Major Cities of Australia,Melbourne - Inner South,Kingston (C) (Vic.),Collector Road,No,No,26_to_39,Night
4252,20171346,NSW,2017-08,Tuesday,1:00:00,Multiple,No,No,No,Car driver,Male,62,93,28,Major Cities of Australia,Sydney - Inner South West,Georges River,Arterial Road,No,No,40_to_64,Night
4253,20171228,NSW,2017-08,Sunday,12:00:00,Single,No,No,No,Car driver,Male,77,115,43,Inner Regional Australia,Murray,Greater Hume,Arterial Road,No,No,75_or_older,Day
4254,20172217,Vic,2017-08,Sunday,9:45:00,Single,Yes,No,No,Car passenger,Male,76,0,41,Major Cities of Australia,Melbourne - South East,Greater Dandenong (C),Arterial Road,No,No,75_or_older,Day
4255,20171319,NSW,2017-08,Saturday,11:01:00,Single,No,No,No,Car driver,Male,24,106,5,Major Cities of Australia,Central Coast,Central Coast,Arterial Road,No,No,17_to_25,Day
4256,20171124,NSW,2017-08,Sunday,14:27:00,Multiple,No,No,No,Motorcycle rider,Male,17,68,5,Inner Regional Australia,Hunter Valley exc Newcastle,Singleton,Local Road,No,No,17_to_25,Day
4257,20171170,NSW,2017-08,Saturday,10:50:00,Multiple,No,No,No,Car driver,Male,32,124,12,Outer Regional Australia,Coffs Harbour - Grafton,Bellingen,Arterial Road,No,No,26_to_39,Day
4258,20171341,NSW,2017-08,Sunday,13:30:00,Multiple,No,No,No,Car driver,Male,37,112,14,Outer Regional Australia,Hunter Valley exc Newcastle,Singleton,Arterial Road,No,No,26_to_39,Day
4259,20174093,SA,2017-08,Sunday,13:05:00,Single,No,No,No,Motorcycle rider,Male,37,106,11,Inner Regional Australia,Adelaide - South,Onkaparinga (C),Sub-Arterial Road,No,No,26_to_39,Day
4260,20172191,Vic,2017-08,Saturday,15:40:00,Single,No,No,No,Car driver,Male,28,50,6,Inner Regional Australia,Latrobe - Gippsland,Latrobe (C) (Vic.),Arterial Road,No,No,26_to_39,Day
4261,20174055,SA,2017-08,Sunday,15:30:00,Multiple,No,No,No,Motorcycle rider,Male,28,88,5,Major Cities of Australia,Adelaide - North,Playford (C),Local Road,No,No,26_to_39,Day
4262,20171147,NSW,2017-08,Saturday,7:56:00,Multiple,No,No,No,Car driver,Male,44,143,15,Outer Regional Australia,Coffs Harbour - Grafton,Clarence Valley,National or State Highway,No,No,40_to_64,Day
